Date Modified,Activity,Brand,Part Number,UPC,Year From,Year To,Make,Model,Submodel,Bed Size,Fitment Notes,Cost,Jobber,MAP,Type,Color,Material,Warranty,Photo 1,Photo 2,Photo 3,Installation Guide,Ship Weight,Ship Length,"Ship
Width","Ship
Height",List Title,Benefit 1,Benefit 2,Benefit 3,Installation Note
6/18/2019,Launch,Aegis,AGST-001,,2004,2014,GMC,Canyon,,5ft,,,,,Soft Tri-Fold,Black,Vinyl,Limited Lifetime,,,,,,,,,Aegis AGST-001 Tri-Fold Soft Black Tonneau Cover,Fits only 04-14 GMC Canyon 5ft bed,No drilling or cutting required,Tri-Fold hinged build allows easy access to your truck bed,Professional installation not required
6/18/2019,Launch,Aegis,AGST-001,,2004,2014,Chevrolet,Colorado,,5ft,,,,,Soft Tri-Fold,Black,Vinyl,Limited Lifetime,,,,,,,,,Aegis AGST-001 Tri-Fold Soft Black Tonneau Cover,Fits only 04-14 Chevrolet Colorado 5ft bed,No drilling or cutting required,Tri-Fold hinged build allows easy access to your truck bed,Professional installation not required
6/18/2019,Launch,Aegis,AGST-002,,2004,2014,GMC,Canyon,,6ft,,,,,Soft Tri-Fold,Black,Vinyl,Limited Lifetime,,,,,,,,,Aegis AGST-002 Tri-Fold Soft Black Tonneau Cover,Fits only 04-14 GMC Canyon 6ft bed,No drilling or cutting required,Tri-Fold hinged build allows easy access to your truck bed,Professional installation not required
6/18/2019,Launch,Aegis,AGST-002,,2004,2014,Chevrolet,Colorado,,6ft,,,,,Soft Tri-Fold,Black,Vinyl,Limited Lifetime,,,,,,,,,Aegis AGST-002 Tri-Fold Soft Black Tonneau Cover,Fits only 04-14 Chevrolet Colorado 6ft bed,No drilling or cutting required,Tri-Fold hinged build allows easy access to your truck bed,Professional installation not required
6/18/2019,Launch,Aegis,AGST-003,,2014,2018,Chevrolet,Silverado 1500,,5.7ft,,,,,Soft Tri-Fold,Black,Vinyl,Limited Lifetime,,,,,,,,,Aegis AGST-003 Tri-Fold Soft Black Tonneau Cover,Fits only 14-18 Chevrolet Silverado 1500 5.7ft bed,No drilling or cutting required,Tri-Fold hinged build allows easy access to your truck bed,Professional installation not required
6/18/2019,Launch,Aegis,AGST-003,,2014,2018,GMC,Sierra 1500,,5.7ft,,,,,Soft Tri-Fold,Black,Vinyl,Limited Lifetime,,,,,,,,,Aegis AGST-003 Tri-Fold Soft Black Tonneau Cover,Fits only 14-18 GMC Sierra 1500 5.7ft bed,No drilling or cutting required,Tri-Fold hinged build allows easy access to your truck bed,Professional installation not required
6/18/2019,Launch,Aegis,AGST-004,,2014,2018,Chevrolet,Silverado 1500,,6.5ft,,,,,Soft Tri-Fold,Black,Vinyl,Limited Lifetime,,,,,,,,,Aegis AGST-004 Tri-Fold Soft Black Tonneau Cover,Fits only 14-18 Chevrolet Silverado 1500 6.5ft bed,No drilling or cutting required,Tri-Fold hinged build allows easy access to your truck bed,Professional installation not required
6/18/2019,Launch,Aegis,AGST-004,,2014,2018,GMC,Sierra 1500,,6.5ft,,,,,Soft Tri-Fold,Black,Vinyl,Limited Lifetime,,,,,,,,,Aegis AGST-004 Tri-Fold Soft Black Tonneau Cover,Fits only 14-18 GMC Sierra 1500 6.5ft bed,No drilling or cutting required,Tri-Fold hinged build allows easy access to your truck bed,Professional installation not required
6/18/2019,Launch,Aegis,AGST-005,,2014,2019,Chevrolet,Silverado 1500,,8ft,,,,,Soft Tri-Fold,Black,Vinyl,Limited Lifetime,,,,,,,,,Aegis AGST-005 Tri-Fold Soft Black Tonneau Cover,Fits only 14-19 Chevrolet Silverado 1500 8ft bed,No drilling or cutting required,Tri-Fold hinged build allows easy access to your truck bed,Professional installation not required
6/18/2019,Launch,Aegis,AGST-005,,2014,2019,Chevrolet,Silverado 2500,,8ft,,,,,Soft Tri-Fold,Black,Vinyl,Limited Lifetime,,,,,,,,,Aegis AGST-005 Tri-Fold Soft Black Tonneau Cover,Fits only 14-19 Chevrolet Silverado 2500 8ft bed,No drilling or cutting required,Tri-Fold hinged build allows easy access to your truck bed,Professional installation not required
